DisplayName,NewApp
Carlson Survey 2017,Carlson Survey
CFlow Plus,CFlow Plus
ChemSketch,ChemSketch
Chemstation,Chemstation
Cisco AnyConnect VPN Client,Cisco AnyConnect Secure Mobility Client
Cisco Packet Tracer 6.2 Instructor,Cisco Packet Tracer
Cisco Packet Tracer 6.2 Student,Cisco Packet Tracer
Cisco Packet Tracer 7.0 64Bit,Cisco Packet Tracer
Cisco Packet Tracer 7.1 64Bit,Cisco Packet Tracer
Cisco Packet Tracer 7.1.1 32Bit,Cisco Packet Tracer
Cisco Packet Tracer 7.1.1 64Bit,Cisco Packet Tracer
Cisco Packet Tracer 7.2 32Bit,Cisco Packet Tracer
Cisco Packet Tracer 7.2 64Bit,Cisco Packet Tracer
Cisco Packet Tracer 7.2.1 64Bit,Cisco Packet Tracer
Cisco Systems VPN Client 5.0.07.0290,Cisco AnyConnect Secure Mobility Client
Clarity LITE,Clarity LITE
CloudCompare 2.10.beta,Cloud Compare
CloudCompareStereo 2.10,Cloud Compare
CloudCompareStereo 2.9.1,Cloud Compare
Corpscon 6.0.1,Corpscon6
Corpscon6,Corpscon6
Counterpointer Update version 2.051,Counterpointer
Counterpointer version 2.049,Counterpointer
Counterpointer version Site 2.056,Counterpointer
Crime Stat,Crime Stat
CUDA Toolkit,Cuda Toolkit
Digilent Adapt,Adept
Digital Geiger Counter Lite,Digital Geiger Counter Lite
DJI Assistant 2 version V1.1.1,DJI ESC Assistant
DJI ESC Assistant,DJI ESC Assistant
DJI ESC Assistant version 1.4,DJI ESC Assistant
DJI ESCAssistant version 1.0,DJI ESC Assistant
DJI NAZAM Assistant version 2.20,NAZAM Assistant
DNRGarmin,DNR Garmin
DW CS6 v12.0.3 x64,Adobe Dreamweaver
EAGLE 9.1.3,Autodesk Eagle
EAGLE 9.2.0,Autodesk Eagle
ECLIPSE 2017.1,Eclipse 2017.2
ECLIPSE 2017.2,Eclipse 2017.2
Eclipse IDE for C and Java,Eclipse IDE
ECLIPSE Software 2010.1,Eclipse 2017.2
ECLIPSE Software 2017.1,Eclipse 2017.2
ECLIPSE Software 2017.2,Eclipse 2017.2
